laureate_id,Birth_Date,Birth_City,Birth_Country,Birth_Lat,Birth_Lon,Gender,Affiliation_Name,Award_City,Award_Country,Award_Lat,Award_Lon
1026,1941-07-23,Tunis,French protectorate of Tunisia,36.810714,10.181034,male,The Ohio State University,"Columbus, OH",USA,39.828175,-98.5795
1027,1962-05-17,Mór,Hungary,47.371667,18.208611,male,Max Planck Institute of Quantum Optics,Garching,Germany,51.0,10.0
1028,1958-08-16,Paris,France,48.860093,2.355954,female,Lund University,Lund,Sweden,61.0,15.0
1033,1972-04-21,Zanjan,Iran,36.666667,48.483333,female,,,,,
1032,1959-09-29,Haugesund,Norway,59.41015,5.275511,male,,,,,
1034,1946-01-01,"New York, NY",USA,40.715758,-74.0113,female,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795
1029,1961-01-01,Paris,France,48.860093,2.355954,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795
1030,1943-01-01,"Cleveland, OH",USA,41.496386,-81.710675,male,Columbia University,"New York, NY",USA,39.828175,-98.5795
1031,1945-01-01,,USSR,,,male,Nanocrystals Technology Inc.,"New York, NY",USA,39.828175,-98.5795
1011,1955-04-20,Stockholm,Sweden,59.325371,18.070794,male,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany,51.0,10.0
1012,1947-06-15,Agen,France,44.203056,0.618611,male,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,47.0,2.0
1013,1942-12-01,"Pasadena, CA",USA,34.150071,-118.142111,male,J.F. Clauser & Assoc.,"Walnut Creek, CA",USA,39.828175,-98.5795
1014,1945-05-20,Ried im Innkreis,Austria,48.21,13.489444,male,University of Vienna,Vienna,Austria,48.0,14.0
1018,1962-09-25,"Vyartsilya, Karelia",Russia,62.176944,30.697222,male,,,,,
1017,1940-09-01,Lillebonne,France,49.520833,0.5375,female,,,,,
1021,1953-12-13,"Augusta, GA",USA,33.47,-81.975,male,The Brookings Institution,"Washington, D.C.",USA,39.828175,-98.5795
