Award_Year,Category,Date_Awarded,Prize_Amount,Prize_Amount_Adj,Prize_Link,Portion,Sort_Order,Motivation,Laureate_Full_Name,Laureate_Known_Name,Laureate_Link,laureate_id
2023,Physics,2023-10-03,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,1/3,1,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Pierre Agostini,Pierre Agostini,https://api.nobelprize.org/2/laureate/1026,1026
2023,Physics,2023-10-03,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,1/3,2,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Ferenc Krausz,Ferenc Krausz,https://api.nobelprize.org/2/laureate/1027,1027
2023,Physics,2023-10-03,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,1/3,3,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Anne L’Huillier,Anne L’Huillier,https://api.nobelprize.org/2/laureate/1028,1028
2023,Peace,2023-10-06,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/pea/2023,1,1,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,Narges Mohammadi,Narges Mohammadi,https://api.nobelprize.org/2/laureate/1033,1033
2023,Literature,2023-10-05,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/lit/2023,1,1,for his innovative plays and prose which give voice to the unsayable,Jon Fosse,Jon Fosse,https://api.nobelprize.org/2/laureate/1032,1032
2023,Economic Sciences,2023-10-09,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/eco/2023,1,1,for having advanced our understanding of women’s labour market outcomes,Claudia Goldin,Claudia Goldin,https://api.nobelprize.org/2/laureate/1034,1034
2023,Chemistry,2023-10-04,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,1/3,1,for the discovery and synthesis of quantum dots,Moungi G. Bawendi,Moungi Bawendi,https://api.nobelprize.org/2/laureate/1029,1029
2023,Chemistry,2023-10-04,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,1/3,2,for the discovery and synthesis of quantum dots,Louis E. Brus,Louis Brus,https://api.nobelprize.org/2/laureate/1030,1030
2023,Chemistry,2023-10-04,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,1/3,3,for the discovery and synthesis of quantum dots,Aleksey Yekimov ,Aleksey Yekimov ,https://api.nobelprize.org/2/laureate/1031,1031
2022,Physiology or Medicine,2022-10-03,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/med/2022,1,1,for his discoveries concerning the genomes of extinct hominins and human evolution,Svante Pääbo,Svante Pääbo,https://api.nobelprize.org/2/laureate/1011,1011
2022,Physics,2022-10-04,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/phy/2022,1/3,1,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",Alain Aspect,Alain Aspect,https://api.nobelprize.org/2/laureate/1012,1012
2022,Physics,2022-10-04,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/phy/2022,1/3,2,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",John F. Clauser,John Clauser,https://api.nobelprize.org/2/laureate/1013,1013
2022,Physics,2022-10-04,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/phy/2022,1/3,3,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",Anton Zeilinger,Anton Zeilinger,https://api.nobelprize.org/2/laureate/1014,1014
2022,Peace,2022-10-07,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/pea/2022,1/3,1,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Ales Bialiatski ,Ales Bialiatski,https://api.nobelprize.org/2/laureate/1018,1018
2022,Peace,2022-10-07,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/pea/2022,1/3,2,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",,,https://api.nobelprize.org/2/laureate/1019,1019
2022,Peace,2022-10-07,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/pea/2022,1/3,3,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",,,https://api.nobelprize.org/2/laureate/1020,1020
2022,Literature,2022-10-06,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/lit/2022,1,1,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",Annie Ernaux,Annie Ernaux,https://api.nobelprize.org/2/laureate/1017,1017
2022,Economic Sciences,2011-10-10,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/eco/2022,1/3,1,for research on banks and financial crises,Ben S. Bernanke,Ben Bernanke,https://api.nobelprize.org/2/laureate/1021,1021
2022,Economic Sciences,2011-10-10,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/eco/2022,1/3,2,for research on banks and financial crises,Douglas W. Diamond,Douglas Diamond,https://api.nobelprize.org/2/laureate/1022,1022
2022,Economic Sciences,2011-10-10,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/eco/2022,1/3,3,for research on banks and financial crises,Philip H. Dybvig,Philip Dybvig,https://api.nobelprize.org/2/laureate/1023,1023
2022,Chemistry,2022-10-05,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/che/2022,1/3,1,for the development of click chemistry and bioorthogonal chemistry,Carolyn R. Bertozzi,Carolyn Bertozzi,https://api.nobelprize.org/2/laureate/1015,1015
2022,Chemistry,2022-10-05,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/che/2022,1/3,2,for the development of click chemistry and bioorthogonal chemistry,Morten Meldal,Morten Meldal,https://api.nobelprize.org/2/laureate/1016,1016
2022,Chemistry,2022-10-05,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/che/2022,1/3,3,for the development of click chemistry and bioorthogonal chemistry,K. Barry Sharpless,K. Barry Sharpless,https://api.nobelprize.org/2/laureate/743,743
2021,Physiology or Medicine,2021-10-04,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/med/2021,1/2,1,for their discoveries of receptors for temperature and touch,David Julius,David Julius,https://api.nobelprize.org/2/laureate/997,997
2021,Physiology or Medicine,2021-10-04,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/med/2021,1/2,2,for their discoveries of receptors for temperature and touch,Ardem Patapoutian,Ardem Patapoutian,https://api.nobelprize.org/2/laureate/998,998
2021,Physics,2021-10-05,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/phy/2021,1/4,1,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",Syukuro Manabe,Syukuro Manabe,https://api.nobelprize.org/2/laureate/999,999
2021,Physics,2021-10-05,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/phy/2021,1/4,2,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",Klaus Hasselmann,Klaus Hasselmann,https://api.nobelprize.org/2/laureate/1000,1000
2021,Physics,2021-10-05,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/phy/2021,1/2,3,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Giorgio Parisi,Giorgio Parisi,https://api.nobelprize.org/2/laureate/1001,1001
2021,Peace,2021-10-08,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/pea/2021,1/2,1,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",Maria Ressa,Maria Ressa,https://api.nobelprize.org/2/laureate/1005,1005
2021,Peace,2021-10-08,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/pea/2021,1/2,2,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",Dmitry Andreyevich Muratov,Dmitry Muratov,https://api.nobelprize.org/2/laureate/1006,1006
2021,Literature,2021-10-07,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/lit/2021,1,1,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,Abdulrazak Gurnah,Abdulrazak Gurnah,https://api.nobelprize.org/2/laureate/1004,1004
2021,Economic Sciences,2021-10-11,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/eco/2021,1/2,1,for his empirical contributions to labour economics,David Card,David Card,https://api.nobelprize.org/2/laureate/1007,1007
2021,Economic Sciences,2021-10-11,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/eco/2021,1/4,2,for their methodological contributions to the analysis of causal relationships,Joshua D. Angrist,Joshua D. Angrist,https://api.nobelprize.org/2/laureate/1008,1008
2021,Economic Sciences,2021-10-11,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/eco/2021,1/4,3,for their methodological contributions to the analysis of causal relationships,Guido W. Imbens,Guido W. Imbens,https://api.nobelprize.org/2/laureate/1009,1009
2021,Chemistry,2021-10-06,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/che/2021,1/2,1,for the development of asymmetric organocatalysis,Benjamin List,Benjamin List,https://api.nobelprize.org/2/laureate/1002,1002
2021,Chemistry,2021-10-06,10000000,10836735,https://api.nobelprize.org/2/nobelPrize/che/2021,1/2,2,for the development of asymmetric organocatalysis,David W.C. MacMillan,David W.C. MacMillan,https://api.nobelprize.org/2/laureate/1003,1003
2020,Physiology or Medicine,2020-10-05,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/med/2020,1/3,1,for the discovery of Hepatitis C virus,Harvey J. Alter,Harvey J. Alter,https://api.nobelprize.org/2/laureate/985,985
2020,Physiology or Medicine,2020-10-05,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/med/2020,1/3,2,for the discovery of Hepatitis C virus,Michael Houghton,Michael Houghton,https://api.nobelprize.org/2/laureate/986,986
2020,Physiology or Medicine,2020-10-05,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/med/2020,1/3,3,for the discovery of Hepatitis C virus,Charles M. Rice,Charles M. Rice,https://api.nobelprize.org/2/laureate/987,987
2020,Physics,2020-10-06,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/phy/2020,1/2,1,for the discovery that black hole formation is a robust prediction of the general theory of relativity,Roger Penrose,Roger Penrose,https://api.nobelprize.org/2/laureate/988,988
2020,Physics,2020-10-06,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/phy/2020,1/4,2,for the discovery of a supermassive compact object at the centre of our galaxy,Reinhard Genzel,Reinhard Genzel,https://api.nobelprize.org/2/laureate/989,989
2020,Physics,2020-10-06,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/phy/2020,1/4,3,for the discovery of a supermassive compact object at the centre of our galaxy,Andrea Ghez,Andrea Ghez,https://api.nobelprize.org/2/laureate/990,990
2020,Peace,2020-10-09,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/pea/2020,1,1,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",,,https://api.nobelprize.org/2/laureate/994,994
2020,Literature,2020-10-08,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/lit/2020,1,1,for her unmistakable poetic voice that with austere beauty makes individual existence universal,Louise Glück,Louise Glück,https://api.nobelprize.org/2/laureate/993,993
2020,Economic Sciences,2020-10-12,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/eco/2020,1/2,1,for improvements to auction theory and inventions of new auction formats,Paul R. Milgrom,Paul R. Milgrom,https://api.nobelprize.org/2/laureate/995,995
2020,Economic Sciences,2020-10-12,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/eco/2020,1/2,2,for improvements to auction theory and inventions of new auction formats,Robert B. Wilson,Robert B. Wilson,https://api.nobelprize.org/2/laureate/996,996
2020,Chemistry,2020-10-07,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/che/2020,1/2,1,for the development of a method for genome editing,Emmanuelle Charpentier,Emmanuelle Charpentier,https://api.nobelprize.org/2/laureate/991,991
2020,Chemistry,2020-10-07,10000000,11074035,https://api.nobelprize.org/2/nobelPrize/che/2020,1/2,2,for the development of a method for genome editing,Jennifer A. Doudna,Jennifer A. Doudna,https://api.nobelprize.org/2/laureate/992,992
2019,Physiology or Medicine,2019-10-07,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/med/2019,1/3,1,for their discoveries of how cells sense and adapt to oxygen availability,William G. Kaelin Jr,William G. Kaelin Jr,https://api.nobelprize.org/2/laureate/970,970
2019,Physiology or Medicine,2019-10-07,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/med/2019,1/3,2,for their discoveries of how cells sense and adapt to oxygen availability,Sir Peter J. Ratcliffe,Sir Peter J. Ratcliffe,https://api.nobelprize.org/2/laureate/971,971
2019,Physiology or Medicine,2019-10-07,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/med/2019,1/3,3,for their discoveries of how cells sense and adapt to oxygen availability,Gregg L. Semenza,Gregg L. Semenza,https://api.nobelprize.org/2/laureate/972,972
2019,Physics,2019-10-08,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/phy/2019,1/2,1,for theoretical discoveries in physical cosmology,James Peebles,James Peebles,https://api.nobelprize.org/2/laureate/973,973
2019,Physics,2019-10-08,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/phy/2019,1/4,2,for the discovery of an exoplanet orbiting a solar-type star,Michel Mayor,Michel Mayor,https://api.nobelprize.org/2/laureate/974,974
2019,Physics,2019-10-08,9000000,10013620,https://api.nobelprize.org/2/nobelPrize/phy/2019,1/4,3,for the discovery of an exoplanet orbiting a solar-type star,Didier Queloz,Didier Queloz,https://api.nobelprize.org/2/laureate/975,975
