"laureate_id","Category","Affiliation_Name","Award_Year","Motivation","Date_Awarded","Award_City","Award_Country","Award_Lat","Award_Lon"
"1026","Physics","The Ohio State University","2023","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","2023-10-03","Columbus, OH","USA",39.828175,-98.5795
"1027","Physics","Max Planck Institute of Quantum Optics","2023","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","2023-10-03","Garching","Germany",51.0,10.0
"1028","Physics","Lund University","2023","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","2023-10-03","Lund","Sweden",61.0,15.0
"1033","Peace","","2023","for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all","2023-10-06","","","",""
"1032","Literature","","2023","for his innovative plays and prose which give voice to the unsayable","2023-10-05","","","",""
"1034","Economic Sciences","Harvard University","2023","for having advanced our understanding of women’s labour market outcomes","2023-10-09","Cambridge, MA","USA",39.828175,-98.5795
"1029","Chemistry","Massachusetts Institute of Technology (MIT)","2023","for the discovery and synthesis of quantum dots","2023-10-04","Cambridge, MA","USA",39.828175,-98.5795
"1030","Chemistry","Columbia University","2023","for the discovery and synthesis of quantum dots","2023-10-04","New York, NY","USA",39.828175,-98.5795
"1031","Chemistry","Nanocrystals Technology Inc.","2023","for the discovery and synthesis of quantum dots","2023-10-04","New York, NY","USA",39.828175,-98.5795
"1011","Physiology or Medicine","Max Planck Institute for Evolutionary Anthropology","2022","for his discoveries concerning the genomes of extinct hominins and human evolution","2022-10-03","Leipzig","Germany",51.0,10.0
"1012","Physics","Institut d’Optique Graduate School – Université Paris-Saclay","2022","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","2022-10-04","Paris","France",47.0,2.0
"1013","Physics","J.F. Clauser & Assoc.","2022","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","2022-10-04","Walnut Creek, CA","USA",39.828175,-98.5795
"1014","Physics","University of Vienna","2022","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","2022-10-04","Vienna","Austria",48.0,14.0
"1018","Peace","","2022","The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","2022-10-07","","","",""
"1019","Peace","","2022","The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","2022-10-07","","","",""
"1020","Peace","","2022","The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.","2022-10-07","","","",""
"1017","Literature","","2022","for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory","2022-10-06","","","",""
"1021","Economic Sciences","The Brookings Institution","2022","for research on banks and financial crises","2011-10-10","Washington, D.C.","USA",39.828175,-98.5795
"1022","Economic Sciences","University of Chicago","2022","for research on banks and financial crises","2011-10-10","Chicago, IL","USA",39.828175,-98.5795
"1023","Economic Sciences","Washington University","2022","for research on banks and financial crises","2011-10-10","St. Louis, MO","USA",39.828175,-98.5795
"1015","Chemistry","Stanford University","2022","for the development of click chemistry and bioorthogonal chemistry","2022-10-05","Stanford, CA","USA",39.828175,-98.5795
"1016","Chemistry","University of Copenhagen","2022","for the development of click chemistry and bioorthogonal chemistry","2022-10-05","Copenhagen","Denmark",56.0,10.0
"743","Chemistry","The Scripps Research Institute","2022","for the development of click chemistry and bioorthogonal chemistry","2022-10-05","La Jolla, CA","USA",39.828175,-98.5795
"743","Chemistry","The Scripps Research Institute","2022","for the development of click chemistry and bioorthogonal chemistry","2022-10-05","La Jolla, CA","USA",39.828175,-98.5795
"997","Physiology or Medicine","University of California","2021","for their discoveries of receptors for temperature and touch","2021-10-04","San Francisco, CA","USA",39.828175,-98.5795
"998","Physiology or Medicine","Scripps Research","2021","for their discoveries of receptors for temperature and touch","2021-10-04","La Jolla, CA","USA",39.828175,-98.5795
"999","Physics","Princeton University","2021","for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming","2021-10-05","Princeton, NJ","USA",39.828175,-98.5795
"1000","Physics","Max Planck Institute for Meteorology","2021","for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming","2021-10-05","Hamburg","Germany",51.0,10.0
"1001","Physics","Sapienza University of Rome","2021","for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales","2021-10-05","Rome","Italy",42.5,12.5
"1005","Peace","","2021","for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace","2021-10-08","","","",""
"1006","Peace","","2021","for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace","2021-10-08","","","",""
"1004","Literature","","2021","for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents","2021-10-07","","","",""
"1007","Economic Sciences","University of California","2021","for his empirical contributions to labour economics","2021-10-11","Berkeley, CA","USA",39.828175,-98.5795
"1008","Economic Sciences","Massachusetts Institute of Technology (MIT)","2021","for their methodological contributions to the analysis of causal relationships","2021-10-11","Cambridge, MA","USA",39.828175,-98.5795
"1009","Economic Sciences","Stanford University","2021","for their methodological contributions to the analysis of causal relationships","2021-10-11","Stanford, CA","USA",39.828175,-98.5795
"1002","Chemistry","Max-Planck-Institut für Kohlenforschung","2021","for the development of asymmetric organocatalysis","2021-10-06","Mülheim an der Ruhr","Germany",51.0,10.0
"1003","Chemistry","Princeton University","2021","for the development of asymmetric organocatalysis","2021-10-06","Princeton, NJ","USA",39.828175,-98.5795
"985","Physiology or Medicine","National Institutes of Health","2020","for the discovery of Hepatitis C virus","2020-10-05","Bethesda, MD","USA",39.828175,-98.5795
"986","Physiology or Medicine","University of Alberta","2020","for the discovery of Hepatitis C virus","2020-10-05","Edmonton","Canada",60.0,-110.0
"987","Physiology or Medicine","Rockefeller University","2020","for the discovery of Hepatitis C virus","2020-10-05","New York, NY","USA",39.828175,-98.5795
"988","Physics","University of Oxford","2020","for the discovery that black hole formation is a robust prediction of the general theory of relativity","2020-10-06","Oxford","United Kingdom",54.6,-2.0
