laureate_id,Org_id,Laureate_Full_Name,Laureate_Known_Name,Birth_Date,Birth_City,Birth_Country,Birth_Lat,Birth_Lon,Gender,Age_When_Awarded
1026,Human,Pierre Agostini,Pierre Agostini,1941-07-23,Tunis,French protectorate of Tunisia,36.810714,10.181034,male,82.0
1027,Human,Ferenc Krausz,Ferenc Krausz,1962-05-17,Mór,Hungary,47.371667,18.208611,male,61.0
1028,Human,Anne L’Huillier,Anne L’Huillier,1958-08-16,Paris,France,48.860093,2.355954,female,65.0
1033,Human,Narges Mohammadi,Narges Mohammadi,1972-04-21,Zanjan,Iran,36.666667,48.483333,female,51.0
1032,Human,Jon Fosse,Jon Fosse,1959-09-29,Haugesund,Norway,59.41015,5.275511,male,64.0
1034,Human,Claudia Goldin,Claudia Goldin,1946-01-01,"New York, NY",USA,40.715758,-74.0113,female,77.0
1029,Human,Moungi G. Bawendi,Moungi Bawendi,1961-01-01,Paris,France,48.860093,2.355954,male,62.0
1030,Human,Louis E. Brus,Louis Brus,1943-01-01,"Cleveland, OH",USA,41.496386,-81.710675,male,80.0
1031,Human,Aleksey Yekimov ,Aleksey Yekimov ,1945-01-01,,USSR,,,male,78.0
1011,Human,Svante Pääbo,Svante Pääbo,1955-04-20,Stockholm,Sweden,59.325371,18.070794,male,67.0
1012,Human,Alain Aspect,Alain Aspect,1947-06-15,Agen,France,44.203056,0.618611,male,75.0
1013,Human,John F. Clauser,John Clauser,1942-12-01,"Pasadena, CA",USA,34.150071,-118.142111,male,79.0
1014,Human,Anton Zeilinger,Anton Zeilinger,1945-05-20,Ried im Innkreis,Austria,48.21,13.489444,male,77.0
1018,Human,Ales Bialiatski ,Ales Bialiatski,1962-09-25,"Vyartsilya, Karelia",Russia,62.176944,30.697222,male,60.0
1019,Organization,,,,,,,,,
1020,Organization,,,,,,,,,
1017,Human,Annie Ernaux,Annie Ernaux,1940-09-01,Lillebonne,France,49.520833,0.5375,female,82.0
1021,Human,Ben S. Bernanke,Ben Bernanke,1953-12-13,"Augusta, GA",USA,33.47,-81.975,male,57.0
1022,Human,Douglas W. Diamond,Douglas Diamond,1953-10-25,"Chicago, IL",USA,41.876228,-87.638416,male,57.0
1023,Human,Philip H. Dybvig,Philip Dybvig,1955-05-22,"Gainesville, FL",USA,29.651968,-82.324982,male,56.0
1015,Human,Carolyn R. Bertozzi,Carolyn Bertozzi,1966-10-10,"Boston, MA",USA,42.36042,-71.05681,female,56.0
1016,Human,Morten Meldal,Morten Meldal,1954-01-01,Copenhagen,Denmark,55.678127,12.572532,male,68.0
743,Human,K. Barry Sharpless,K. Barry Sharpless,1941-04-28,"Philadelphia, PA",USA,39.957132,-75.174342,male,81.0
997,Human,David Julius,David Julius,1955-11-04,"New York, NY",USA,40.715758,-74.0113,male,65.0
998,Human,Ardem Patapoutian,Ardem Patapoutian,1967-01-01,Beirut,Lebanon,33.886944,35.513056,male,54.0
999,Human,Syukuro Manabe,Syukuro Manabe,1931-09-21,"Shingu, Ehime",Japan,,,male,90.0
1000,Human,Klaus Hasselmann,Klaus Hasselmann,1931-10-25,Hamburg,Germany,53.548276,9.987422,male,90.0
1001,Human,Giorgio Parisi,Giorgio Parisi,1948-08-04,Rome,Italy,41.902288,12.506464,male,73.0
1005,Human,Maria Ressa,Maria Ressa,1963-10-02,Manila,Philippines,14.594892,120.978264,female,58.0
1006,Human,Dmitry Andreyevich Muratov,Dmitry Muratov,1961-01-01,Kubyshev,USSR,53.202778,50.140833,male,60.0
1004,Human,Abdulrazak Gurnah,Abdulrazak Gurnah,1948-01-01,,,,,male,73.0
1007,Human,David Card,David Card,1956-01-01,Guelph,Canada,43.546051,-80.249329,male,65.0
1008,Human,Joshua D. Angrist,Joshua D. Angrist,1960-09-18,"Columbus, OH",USA,39.962222,-83.000556,male,61.0
1009,Human,Guido W. Imbens,Guido W. Imbens,1963-09-03,Geldrop,the Netherlands,,,male,58.0
1002,Human,Benjamin List,Benjamin List,1968-01-11,Frankfurt-on-the-Main,Germany,50.107886,8.691488,male,53.0
1003,Human,David W.C. MacMillan,David W.C. MacMillan,1968-03-16,Bellshill,United Kingdom,55.820556,-4.028333,male,53.0
985,Human,Harvey J. Alter,Harvey J. Alter,1935-09-12,"New York, NY",USA,40.715758,-74.0113,male,85.0
986,Human,Michael Houghton,Michael Houghton,1949-01-01,,United Kingdom,,,male,71.0
987,Human,Charles M. Rice,Charles M. Rice,1952-08-25,"Sacramento, CA",USA,38.58102,-121.493935,male,68.0
988,Human,Roger Penrose,Roger Penrose,1931-08-08,Colchester,United Kingdom,51.888611,0.903611,male,89.0
989,Human,Reinhard Genzel,Reinhard Genzel,1952-03-24,Bad Homburg vor der Höhe,Germany,50.228031,8.618313,male,68.0
990,Human,Andrea Ghez,Andrea Ghez,1965-06-16,"New York, NY",USA,40.715758,-74.0113,female,55.0
994,Organization,,,,,,,,,
993,Human,Louise Glück,Louise Glück,1943-04-22,"New York, NY",USA,40.715758,-74.0113,female,77.0
995,Human,Paul R. Milgrom,Paul R. Milgrom,1948-04-20,"Detroit, MI",USA,42.331667,-83.0475,male,72.0
996,Human,Robert B. Wilson,Robert B. Wilson,1937-05-16,"Geneva, NE",USA,40.526389,-97.601944,male,83.0
991,Human,Emmanuelle Charpentier,Emmanuelle Charpentier,1968-12-11,Juvisy-sur-Orge,France,48.688333,2.3775,female,51.0
992,Human,Jennifer A. Doudna,Jennifer A. Doudna,1964-02-19,"Washington, D.C.",USA,38.899065,-77.036523,female,56.0
970,Human,William G. Kaelin Jr,William G. Kaelin Jr,1957-11-23,"New York, NY",USA,40.715758,-74.0113,male,61.0
971,Human,Sir Peter J. Ratcliffe,Sir Peter J. Ratcliffe,1954-05-14,Lancashire,United Kingdom,53.802814,-2.628226,male,65.0
972,Human,Gregg L. Semenza,Gregg L. Semenza,1956-07-12,"New York, NY",USA,40.715758,-74.0113,male,63.0
973,Human,James Peebles,James Peebles,1935-04-25,Winnipeg,Canada,49.895538,-97.138458,male,84.0
974,Human,Michel Mayor,Michel Mayor,1942-01-12,Lausanne,Switzerland,46.533333,6.633333,male,77.0
975,Human,Didier Queloz,Didier Queloz,1966-02-23,Geneva,Switzerland,46.203397,6.145957,male,53.0
981,Human,Abiy Ahmed Ali,Abiy Ahmed Ali,1976-08-15,Beshasha,Ethiopia,7.795864,36.477062,male,43.0
980,Human,Peter Handke,Peter Handke,1942-12-06,Griffen,Austria,46.704444,14.732778,male,76.0
982,Human,Abhijit Banerjee,Abhijit Banerjee,1961-02-21,Mumbai,India,19.075833,72.8775,male,58.0
983,Human,Esther Duflo,Esther Duflo,1972-10-25,Paris,France,48.860093,2.355954,female,47.0
984,Human,Michael Kremer,Michael Kremer,1964-11-12,"New York, NY",USA,40.715758,-74.0113,male,54.0
976,Human,John B. Goodenough,John B. Goodenough,1922-07-25,Jena,Germany,50.927222,11.586389,male,97.0
977,Human,M. Stanley Whittingham,M. Stanley Whittingham,1941-12-22,,United Kingdom,,,male,77.0
978,Human,Akira Yoshino,Akira Yoshino,1948-01-30,Suita,Japan,34.764885,135.517349,male,71.0
958,Human,James P. Allison,James P. Allison,1948-08-07,"Alice, TX",USA,27.750611,-98.070306,male,70.0
959,Human,Tasuku Honjo,Tasuku Honjo,1942-01-27,Kyoto,Japan,35.017709,135.761432,male,76.0
960,Human,Arthur Ashkin,Arthur Ashkin,1922-09-02,"New York, NY",USA,40.715758,-74.0113,male,96.0
961,Human,Gérard Mourou,Gérard Mourou,1944-06-22,Albertville,France,45.675833,6.3925,male,74.0
962,Human,Donna Strickland,Donna Strickland,1959-05-27,Guelph,Canada,43.546051,-80.249329,female,59.0
966,Human,Denis Mukwege,Denis Mukwege,1955-03-01,Bukavu,Belgian Congo,-2.5,28.866667,male,63.0
967,Human,Nadia Murad Basee Taha,Nadia Murad,1993-01-01,Kojo,Iraq,36.179036,41.911312,female,25.0
979,Human,Olga Tokarczuk,Olga Tokarczuk,1962-01-29,Sulechów,Poland,52.092648,15.618116,female,57.0
968,Human,William D. Nordhaus,William D. Nordhaus,1941-05-31,"Albuquerque, NM",USA,35.084491,-106.651137,male,77.0
969,Human,Paul M. Romer,Paul M. Romer,1955-01-01,"Denver, CO",USA,39.739235,-104.984863,male,63.0
963,Human,Frances H. Arnold,Frances H. Arnold,1956-07-25,"Pittsburgh, PA",USA,40.440136,-80.008661,female,62.0
964,Human,George P. Smith,George P. Smith,1941-03-10,"Norwalk, CT",USA,41.117596,-73.407898,male,77.0
965,Human,Sir Gregory P. Winter,Sir Gregory P. Winter,1951-04-14,Leicester,United Kingdom,52.636139,-1.133079,male,67.0
938,Human,Jeffrey C. Hall,Jeffrey C. Hall,1945-05-03,"New York, NY",USA,40.715758,-74.0113,male,72.0
939,Human,Michael Rosbash,Michael Rosbash,1944-03-07,"Kansas City, MO",USA,39.100105,-94.57814,male,73.0
940,Human,Michael W. Young,Michael W. Young,1949-03-28,"Miami, FL",USA,25.64809,-80.426262,male,68.0
941,Human,Rainer Weiss,Rainer Weiss,1932-09-29,Berlin,Germany,52.522265,13.406852,male,85.0
942,Human,Barry C. Barish,Barry C. Barish,1936-01-27,"Omaha, NE",USA,41.258611,-95.9375,male,81.0
943,Human,Kip S. Thorne,Kip S. Thorne,1940-06-01,"Logan, UT",USA,41.731346,-111.834862,male,77.0
948,Organization,,,,,,,,,
947,Human,Kazuo Ishiguro,Kazuo Ishiguro,1954-11-08,Nagasaki,Japan,32.75016,129.878098,male,62.0
949,Human,Richard H. Thaler,Richard H. Thaler,1945-09-12,"East Orange, NJ",USA,40.767323,-74.204865,male,72.0
944,Human,Jacques Dubochet,Jacques Dubochet,1942-06-08,Aigle,Switzerland,46.317432,6.969595,male,75.0
945,Human,Joachim Frank,Joachim Frank,1940-09-12,Siegen,Germany,50.873741,8.020064,male,77.0
946,Human,Richard Henderson,Richard Henderson,1945-07-19,Edinburgh,Scotland,55.955709,-3.207405,male,72.0
927,Human,Yoshinori Ohsumi,Yoshinori Ohsumi,1945-02-09,Fukuoka,Japan,33.590355,130.401716,male,71.0
928,Human,David J. Thouless,David J. Thouless,1934-09-21,Bearsden,United Kingdom,55.919238,-4.333202,male,82.0
