Org_id,laureate_id,Org_Type,Organization_Name,Founded_Country,Org_Founded_Date
O-0001,1,Human,,,
O-0002,10,Human,,,
O-0003,100,Human,,,
O-0004,1000,Human,,,
O-0005,1001,Human,,,
O-0006,1002,Human,,,
O-0007,1003,Human,,,
O-0008,1004,Human,,,
O-0009,1005,Human,,,
O-0010,1006,Human,,,
O-0011,1007,Human,,,
O-0012,1008,Human,,,
O-0013,1009,Human,,,
O-0014,101,Human,,,
O-0015,1011,Human,,,
O-0016,1012,Human,,,
O-0017,1013,Human,,,
O-0018,1014,Human,,,
O-0019,1015,Human,,,
O-0020,1016,Human,,,
O-0021,1017,Human,,,
O-0022,1018,Human,,,
O-0023,1019,Organization,Memorial,Russia,1987-01-01
O-0024,102,Human,,,
O-0025,1020,Organization,Center for Civil Liberties,Ukraine,2007-01-01
O-0026,1021,Human,,,
O-0027,1022,Human,,,
O-0028,1023,Human,,,
O-0029,1026,Human,,,
O-0030,1027,Human,,,
O-0031,1028,Human,,,
O-0032,1029,Human,,,
O-0033,103,Human,,,
O-0034,1030,Human,,,
O-0035,1031,Human,,,
O-0036,1032,Human,,,
O-0037,1033,Human,,,
O-0038,1034,Human,,,
O-0039,104,Human,,,
O-0040,105,Human,,,
O-0041,106,Human,,,
O-0042,107,Human,,,
O-0043,108,Human,,,
O-0044,109,Human,,,
O-0045,11,Human,,,
O-0046,110,Human,,,
O-0047,111,Human,,,
O-0048,112,Human,,,
O-0049,113,Human,,,
O-0050,114,Human,,,
O-0051,115,Human,,,
O-0052,116,Human,,,
O-0053,117,Human,,,
O-0054,118,Human,,,
O-0055,119,Human,,,
O-0056,12,Human,,,
O-0057,120,Human,,,
O-0058,121,Human,,,
O-0059,122,Human,,,
O-0060,123,Human,,,
O-0061,124,Human,,,
O-0062,125,Human,,,
O-0063,126,Human,,,
O-0064,127,Human,,,
O-0065,128,Human,,,
O-0066,129,Human,,,
O-0067,13,Human,,,
O-0068,130,Human,,,
O-0069,131,Human,,,
O-0070,132,Human,,,
O-0071,133,Human,,,
O-0072,134,Human,,,
O-0073,135,Human,,,
O-0074,136,Human,,,
O-0075,137,Human,,,
O-0076,138,Human,,,
O-0077,139,Human,,,
O-0078,14,Human,,,
O-0079,140,Human,,,
O-0080,141,Human,,,
O-0081,142,Human,,,
O-0082,143,Human,,,
O-0083,144,Human,,,
O-0084,145,Human,,,
O-0085,146,Human,,,
O-0086,147,Human,,,
O-0087,148,Human,,,
O-0088,149,Human,,,
O-0089,15,Human,,,
O-0090,150,Human,,,
O-0091,151,Human,,,
O-0092,152,Human,,,
O-0093,153,Human,,,
O-0094,154,Human,,,
O-0095,155,Human,,,
O-0096,156,Human,,,
O-0097,157,Human,,,
O-0098,158,Human,,,
O-0099,159,Human,,,
O-0100,16,Human,,,
O-0101,160,Human,,,
O-0102,161,Human,,,
O-0103,162,Human,,,
O-0104,163,Human,,,
O-0105,164,Human,,,
O-0106,165,Human,,,
O-0107,166,Human,,,
O-0108,167,Human,,,
O-0109,168,Human,,,
O-0110,169,Human,,,
O-0111,17,Human,,,
O-0112,172,Human,,,
O-0113,173,Human,,,
O-0114,174,Human,,,
O-0115,175,Human,,,
O-0116,176,Human,,,
O-0117,177,Human,,,
O-0118,178,Human,,,
O-0119,179,Human,,,
O-0120,18,Human,,,
O-0121,180,Human,,,
O-0122,181,Human,,,
O-0123,182,Human,,,
O-0124,183,Human,,,
O-0125,184,Human,,,
O-0126,185,Human,,,
O-0127,186,Human,,,
O-0128,187,Human,,,
O-0129,188,Human,,,
O-0130,189,Human,,,
O-0131,19,Human,,,
O-0132,190,Human,,,
O-0133,191,Human,,,
O-0134,192,Human,,,
O-0135,193,Human,,,
O-0136,194,Human,,,
O-0137,195,Human,,,
O-0138,196,Human,,,
O-0139,197,Human,,,
O-0140,198,Human,,,
O-0141,199,Human,,,
O-0142,2,Human,,,
O-0143,20,Human,,,
O-0144,200,Human,,,
O-0145,201,Human,,,
O-0146,202,Human,,,
O-0147,203,Human,,,
O-0148,204,Human,,,
O-0149,205,Human,,,
O-0150,206,Human,,,
O-0151,207,Human,,,
O-0152,208,Human,,,
O-0153,209,Human,,,
O-0154,21,Human,,,
O-0155,210,Human,,,
O-0156,211,Human,,,
O-0157,212,Human,,,
O-0158,213,Human,,,
O-0159,214,Human,,,
O-0160,215,Human,,,
O-0161,216,Human,,,
O-0162,217,Human,,,
O-0163,218,Human,,,
O-0164,219,Human,,,
O-0165,22,Human,,,
O-0166,220,Human,,,
O-0167,221,Human,,,
O-0168,222,Human,,,
O-0169,223,Human,,,
O-0170,224,Human,,,
O-0171,225,Human,,,
O-0172,226,Human,,,
O-0173,227,Human,,,
O-0174,228,Human,,,
O-0175,229,Human,,,
O-0176,23,Human,,,
O-0177,230,Human,,,
O-0178,231,Human,,,
O-0179,232,Human,,,
O-0180,233,Human,,,
O-0181,234,Human,,,
O-0182,235,Human,,,
O-0183,236,Human,,,
O-0184,237,Human,,,
O-0185,238,Human,,,
O-0186,239,Human,,,
O-0187,24,Human,,,
O-0188,240,Human,,,
O-0189,241,Human,,,
O-0190,242,Human,,,
O-0191,243,Human,,,
O-0192,244,Human,,,
O-0193,245,Human,,,
O-0194,246,Human,,,
O-0195,247,Human,,,
O-0196,248,Human,,,
O-0197,249,Human,,,
O-0198,25,Human,,,
O-0199,250,Human,,,
O-0200,251,Human,,,
O-0201,252,Human,,,
O-0202,253,Human,,,
O-0203,254,Human,,,
O-0204,255,Human,,,
O-0205,257,Human,,,
O-0206,258,Human,,,
O-0207,259,Human,,,
O-0208,26,Human,,,
O-0209,260,Human,,,
O-0210,261,Human,,,
O-0211,262,Human,,,
O-0212,263,Human,,,
O-0213,264,Human,,,
O-0214,265,Human,,,
O-0215,266,Human,,,
O-0216,267,Human,,,
O-0217,268,Human,,,
O-0218,269,Human,,,
O-0219,27,Human,,,
O-0220,270,Human,,,
O-0221,271,Human,,,
O-0222,272,Human,,,
O-0223,273,Human,,,
O-0224,274,Human,,,
O-0225,275,Human,,,
O-0226,276,Human,,,
O-0227,277,Human,,,
O-0228,278,Human,,,
O-0229,279,Human,,,
O-0230,28,Human,,,
O-0231,280,Human,,,
O-0232,281,Human,,,
O-0233,282,Human,,,
O-0234,283,Human,,,
O-0235,284,Human,,,
O-0236,285,Human,,,
O-0237,286,Human,,,
O-0238,287,Human,,,
O-0239,288,Human,,,
O-0240,289,Human,,,
O-0241,29,Human,,,
O-0242,290,Human,,,
O-0243,291,Human,,,
O-0244,292,Human,,,
O-0245,293,Human,,,
O-0246,294,Human,,,
O-0247,295,Human,,,
O-0248,296,Human,,,
O-0249,297,Human,,,
O-0250,298,Human,,,
O-0251,299,Human,,,
O-0252,3,Human,,,
O-0253,30,Human,,,
O-0254,300,Human,,,
O-0255,301,Human,,,
O-0256,302,Human,,,
O-0257,303,Human,,,
O-0258,304,Human,,,
O-0259,305,Human,,,
O-0260,306,Human,,,
O-0261,307,Human,,,
O-0262,308,Human,,,
O-0263,309,Human,,,
O-0264,31,Human,,,
O-0265,310,Human,,,
O-0266,311,Human,,,
O-0267,312,Human,,,
O-0268,313,Human,,,
O-0269,314,Human,,,
O-0270,315,Human,,,
O-0271,316,Human,,,
O-0272,317,Human,,,
O-0273,318,Human,,,
O-0274,319,Human,,,
O-0275,32,Human,,,
O-0276,320,Human,,,
O-0277,321,Human,,,
O-0278,322,Human,,,
O-0279,323,Human,,,
O-0280,324,Human,,,
O-0281,325,Human,,,
O-0282,326,Human,,,
O-0283,327,Human,,,
O-0284,328,Human,,,
O-0285,329,Human,,,
O-0286,33,Human,,,
O-0287,330,Human,,,
O-0288,331,Human,,,
O-0289,332,Human,,,
O-0290,333,Human,,,
O-0291,334,Human,,,
O-0292,335,Human,,,
O-0293,336,Human,,,
O-0294,337,Human,,,
O-0295,338,Human,,,
O-0296,339,Human,,,
O-0297,34,Human,,,
O-0298,340,Human,,,
O-0299,341,Human,,,
O-0300,342,Human,,,
O-0301,343,Human,,,
O-0302,344,Human,,,
O-0303,345,Human,,,
O-0304,346,Human,,,
O-0305,347,Human,,,
O-0306,348,Human,,,
O-0307,349,Human,,,
O-0308,35,Human,,,
O-0309,350,Human,,,
O-0310,351,Human,,,
O-0311,352,Human,,,
O-0312,353,Human,,,
O-0313,354,Human,,,
O-0314,355,Human,,,
O-0315,356,Human,,,
O-0316,357,Human,,,
O-0317,358,Human,,,
O-0318,359,Human,,,
O-0319,36,Human,,,
O-0320,360,Human,,,
O-0321,361,Human,,,
O-0322,362,Human,,,
O-0323,363,Human,,,
O-0324,364,Human,,,
O-0325,365,Human,,,
O-0326,366,Human,,,
O-0327,367,Human,,,
O-0328,368,Human,,,
O-0329,369,Human,,,
O-0330,37,Human,,,
O-0331,370,Human,,,
O-0332,371,Human,,,
O-0333,372,Human,,,
O-0334,373,Human,,,
O-0335,374,Human,,,
O-0336,375,Human,,,
O-0337,376,Human,,,
O-0338,377,Human,,,
O-0339,378,Human,,,
O-0340,379,Human,,,
O-0341,38,Human,,,
O-0342,380,Human,,,
O-0343,381,Human,,,
O-0344,382,Human,,,
O-0345,383,Human,,,
O-0346,384,Human,,,
O-0347,385,Human,,,
O-0348,386,Human,,,
O-0349,387,Human,,,
O-0350,388,Human,,,
O-0351,389,Human,,,
O-0352,39,Human,,,
O-0353,390,Human,,,
O-0354,391,Human,,,
O-0355,392,Human,,,
O-0356,393,Human,,,
O-0357,394,Human,,,
O-0358,395,Human,,,
O-0359,396,Human,,,
O-0360,397,Human,,,
O-0361,398,Human,,,
O-0362,399,Human,,,
O-0363,4,Human,,,
O-0364,40,Human,,,
O-0365,400,Human,,,
O-0366,401,Human,,,
O-0367,402,Human,,,
O-0368,403,Human,,,
O-0369,404,Human,,,
O-0370,405,Human,,,
O-0371,406,Human,,,
O-0372,407,Human,,,
O-0373,408,Human,,,
O-0374,409,Human,,,
O-0375,41,Human,,,
O-0376,410,Human,,,
O-0377,411,Human,,,
O-0378,412,Human,,,
O-0379,413,Human,,,
O-0380,414,Human,,,
O-0381,415,Human,,,
O-0382,416,Human,,,
O-0383,417,Human,,,
O-0384,418,Human,,,
O-0385,419,Human,,,
O-0386,42,Human,,,
O-0387,420,Human,,,
O-0388,421,Human,,,
O-0389,422,Human,,,
O-0390,423,Human,,,
O-0391,424,Human,,,
O-0392,425,Human,,,
O-0393,426,Human,,,
O-0394,427,Human,,,
O-0395,428,Human,,,
O-0396,429,Human,,,
O-0397,43,Human,,,
O-0398,430,Human,,,
O-0399,431,Human,,,
O-0400,432,Human,,,
O-0401,433,Human,,,
O-0402,434,Human,,,
O-0403,435,Human,,,
O-0404,436,Human,,,
O-0405,437,Human,,,
O-0406,438,Human,,,
O-0407,439,Human,,,
O-0408,44,Human,,,
O-0409,440,Human,,,
O-0410,441,Human,,,
O-0411,442,Human,,,
O-0412,443,Human,,,
O-0413,444,Human,,,
O-0414,445,Human,,,
O-0415,446,Human,,,
O-0416,447,Human,,,
O-0417,448,Human,,,
O-0418,449,Human,,,
O-0419,45,Human,,,
O-0420,450,Human,,,
O-0421,451,Human,,,
O-0422,452,Human,,,
O-0423,453,Human,,,
O-0424,454,Human,,,
O-0425,455,Human,,,
O-0426,456,Human,,,
O-0427,457,Human,,,
O-0428,458,Human,,,
O-0429,459,Human,,,
O-0430,46,Human,,,
O-0431,460,Human,,,
O-0432,461,Human,,,
O-0433,462,Human,,,
O-0434,463,Human,,,
O-0435,464,Human,,,
O-0436,465,Human,,,
O-0437,466,Human,,,
O-0438,467,Organization,Institute of International Law,Belgium,1873-01-01
O-0439,468,Human,,,
O-0440,47,Human,,,
O-0441,470,Human,,,
O-0442,471,Human,,,
O-0443,472,Human,,,
O-0444,473,Human,,,
O-0445,474,Human,,,
O-0446,475,Human,,,
O-0447,476,Human,,,
O-0448,477,Organization,Permanent International Peace Bureau,Switzerland,1891-01-01
O-0449,478,Human,,,
O-0450,479,Human,,,
O-0451,48,Human,,,
O-0452,480,Human,,,
O-0453,481,Human,,,
O-0454,482,Organization,International Committee of the Red Cross,Switzerland,1863-01-01
O-0455,483,Human,,,
O-0456,484,Human,,,
O-0457,485,Human,,,
O-0458,486,Human,,,
O-0459,487,Human,,,
O-0460,488,Human,,,
O-0461,489,Human,,,
O-0462,49,Human,,,
O-0463,490,Human,,,
O-0464,491,Human,,,
O-0465,492,Human,,,
O-0466,493,Human,,,
O-0467,494,Human,,,
O-0468,495,Human,,,
O-0469,496,Human,,,
O-0470,497,Human,,,
O-0471,498,Human,,,
O-0472,499,Human,,,
O-0473,5,Human,,,
O-0474,50,Human,,,
O-0475,500,Human,,,
O-0476,501,Human,,,
O-0477,502,Human,,,
O-0478,503,Organization,Nansen International Office for Refugees,Switzerland,1921-01-01
O-0479,505,Human,,,
O-0480,506,Human,,,
O-0481,507,Human,,,
O-0482,508,Organization,Friends Service Council,United Kingdom,
O-0483,509,Organization,American Friends Service Committee,USA,1917-01-01
O-0484,51,Human,,,
O-0485,510,Human,,,
O-0486,511,Human,,,
O-0487,512,Human,,,
O-0488,513,Human,,,
O-0489,514,Human,,,
O-0490,515,Organization,Office of the United Nations High Commissioner for Refugees,Switzerland,1950-12-14
O-0491,516,Human,,,
O-0492,517,Human,,,
O-0493,518,Human,,,
O-0494,519,Human,,,
O-0495,52,Human,,,
O-0496,520,Human,,,
O-0497,523,Organization,League of Red Cross Societies,France,1919-01-01
O-0498,524,Human,,,
O-0499,525,Organization,United Nations Children's Fund,USA,1946-01-01
O-0500,526,Human,,,
O-0501,527,Organization,International Labour Organization,Switzerland,1919-01-01
O-0502,528,Human,,,
O-0503,529,Human,,,
O-0504,53,Human,,,
O-0505,530,Human,,,
O-0506,531,Human,,,
O-0507,532,Human,,,
O-0508,533,Human,,,
O-0509,534,Human,,,
O-0510,535,Human,,,
O-0511,536,Human,,,
O-0512,537,Organization,Amnesty International,United Kingdom,1961-01-01
O-0513,538,Human,,,
O-0514,539,Human,,,
O-0515,54,Human,,,
O-0516,540,Human,,,
O-0517,541,Human,,,
O-0518,543,Human,,,
O-0519,544,Human,,,
O-0520,545,Human,,,
O-0521,546,Human,,,
O-0522,547,Organization,International Physicians for the Prevention of Nuclear War,USA,1980-01-01
O-0523,548,Human,,,
O-0524,549,Human,,,
O-0525,55,Human,,,
O-0526,550,Organization,United Nations Peacekeeping Forces,USA,1948-01-01
O-0527,551,Human,,,
O-0528,552,Human,,,
O-0529,553,Human,,,
O-0530,554,Human,,,
O-0531,555,Human,,,
O-0532,556,Human,,,
O-0533,557,Human,,,
O-0534,558,Human,,,
O-0535,559,Human,,,
O-0536,56,Human,,,
O-0537,560,Human,,,
O-0538,561,Organization,Pugwash Conferences on Science and World Affairs,Canada,1957-01-01
O-0539,562,Human,,,
O-0540,563,Human,,,
O-0541,564,Organization,International Campaign to Ban Landmines,USA,1992-01-01
O-0542,565,Human,,,
O-0543,566,Human,,,
O-0544,567,Human,,,
O-0545,568,Organization,Doctors Without Borders,France,1971-01-01
O-0546,569,Human,,,
O-0547,57,Human,,,
O-0548,571,Human,,,
O-0549,572,Human,,,
O-0550,573,Human,,,
O-0551,574,Human,,,
O-0552,575,Human,,,
O-0553,576,Human,,,
O-0554,577,Human,,,
O-0555,578,Human,,,
O-0556,579,Human,,,
O-0557,58,Human,,,
O-0558,580,Human,,,
O-0559,581,Human,,,
O-0560,582,Human,,,
O-0561,583,Human,,,
O-0562,584,Human,,,
O-0563,585,Human,,,
O-0564,586,Human,,,
O-0565,587,Human,,,
O-0566,588,Human,,,
O-0567,589,Human,,,
O-0568,59,Human,,,
O-0569,590,Human,,,
O-0570,592,Human,,,
O-0571,593,Human,,,
O-0572,594,Human,,,
O-0573,596,Human,,,
O-0574,597,Human,,,
O-0575,6,Human,,,
O-0576,60,Human,,,
O-0577,600,Human,,,
O-0578,601,Human,,,
O-0579,602,Human,,,
O-0580,603,Human,,,
O-0581,604,Human,,,
O-0582,605,Human,,,
O-0583,606,Human,,,
O-0584,607,Human,,,
O-0585,608,Human,,,
O-0586,609,Human,,,
O-0587,61,Human,,,
O-0588,610,Human,,,
O-0589,613,Human,,,
O-0590,614,Human,,,
O-0591,615,Human,,,
O-0592,617,Human,,,
O-0593,618,Human,,,
O-0594,619,Human,,,
O-0595,62,Human,,,
O-0596,620,Human,,,
O-0597,621,Human,,,
O-0598,622,Human,,,
O-0599,623,Human,,,
O-0600,624,Human,,,
O-0601,625,Human,,,
O-0602,626,Human,,,
O-0603,627,Human,,,
O-0604,628,Human,,,
O-0605,629,Human,,,
O-0606,63,Human,,,
O-0607,630,Human,,,
O-0608,631,Human,,,
O-0609,633,Human,,,
O-0610,634,Human,,,
O-0611,635,Human,,,
O-0612,637,Human,,,
O-0613,638,Human,,,
O-0614,639,Human,,,
O-0615,64,Human,,,
O-0616,640,Human,,,
O-0617,641,Human,,,
O-0618,642,Human,,,
O-0619,643,Human,,,
O-0620,644,Human,,,
O-0621,645,Human,,,
O-0622,647,Human,,,
O-0623,648,Human,,,
O-0624,649,Human,,,
O-0625,65,Human,,,
O-0626,650,Human,,,
O-0627,651,Human,,,
O-0628,652,Human,,,
O-0629,653,Human,,,
O-0630,654,Human,,,
O-0631,655,Human,,,
O-0632,657,Human,,,
O-0633,658,Human,,,
O-0634,659,Human,,,
O-0635,66,Human,,,
O-0636,660,Human,,,
O-0637,661,Human,,,
O-0638,662,Human,,,
O-0639,663,Human,,,
O-0640,664,Human,,,
O-0641,665,Human,,,
O-0642,666,Human,,,
O-0643,667,Human,,,
O-0644,668,Human,,,
O-0645,669,Human,,,
O-0646,67,Human,,,
O-0647,670,Human,,,
O-0648,671,Human,,,
O-0649,672,Human,,,
O-0650,673,Human,,,
O-0651,674,Human,,,
O-0652,675,Human,,,
O-0653,676,Human,,,
O-0654,677,Human,,,
O-0655,678,Human,,,
O-0656,679,Human,,,
O-0657,68,Human,,,
O-0658,680,Human,,,
O-0659,681,Human,,,
O-0660,682,Human,,,
O-0661,683,Human,,,
O-0662,684,Human,,,
O-0663,685,Human,,,
O-0664,686,Human,,,
O-0665,687,Human,,,
O-0666,688,Human,,,
O-0667,689,Human,,,
O-0668,69,Human,,,
O-0669,690,Human,,,
O-0670,691,Human,,,
O-0671,692,Human,,,
O-0672,693,Human,,,
O-0673,694,Human,,,
O-0674,695,Human,,,
O-0675,696,Human,,,
O-0676,697,Human,,,
O-0677,698,Human,,,
O-0678,699,Human,,,
O-0679,70,Human,,,
O-0680,700,Human,,,
O-0681,701,Human,,,
O-0682,702,Human,,,
