Prize_id,laureate_id,Prize_Amount,Prize_Amount_Adj,Sole_Winner,Portion
P-0001,1,150782,9704878,True,'1'
P-0002,10,138536,8407156,True,'1'
P-0003,100,550000,3696835,False,'1/2'
P-0004,1000,10000000,10836735,False,'1/4'
P-0005,1001,10000000,10836735,False,'1/2'
P-0006,1002,10000000,10836735,False,'1/2'
P-0007,1003,10000000,10836735,False,'1/2'
P-0008,1004,10000000,10836735,True,'1'
P-0009,1005,10000000,10836735,False,'1/2'
P-0010,1006,10000000,10836735,False,'1/2'
P-0011,1007,10000000,10836735,False,'1/2'
P-0012,1008,10000000,10836735,False,'1/4'
P-0013,1009,10000000,10836735,False,'1/4'
P-0014,101,550000,3696835,False,'1/2'
P-0015,1011,10000000,10000000,True,'1'
P-0016,1012,10000000,10000000,False,'1/3'
P-0017,1013,10000000,10000000,False,'1/3'
P-0018,1014,10000000,10000000,False,'1/3'
P-0019,1015,10000000,10000000,False,'1/3'
P-0020,1016,10000000,10000000,False,'1/3'
P-0021,1017,10000000,10000000,True,'1'
P-0022,1018,10000000,10000000,False,'1/3'
P-0023,1019,10000000,10000000,False,'1/3'
P-0024,102,630000,3856254,False,'1/3'
P-0025,1020,10000000,10000000,False,'1/3'
P-0026,1021,10000000,10000000,False,'1/3'
P-0027,1022,10000000,10000000,False,'1/3'
P-0028,1023,10000000,10000000,False,'1/3'
P-0029,1026,11000000,11000000,False,'1/3'
P-0030,1027,11000000,11000000,False,'1/3'
P-0031,1028,11000000,11000000,False,'1/3'
P-0032,1029,11000000,11000000,False,'1/3'
P-0033,103,630000,3856254,False,'1/3'
P-0034,1030,11000000,11000000,False,'1/3'
P-0035,1031,11000000,11000000,False,'1/3'
P-0036,1032,11000000,11000000,True,'1'
P-0037,1033,11000000,11000000,True,'1'
P-0038,1034,11000000,11000000,True,'1'
P-0039,104,630000,3856254,False,'1/3'
P-0040,105,681000,3786503,False,'1/2'
P-0041,106,681000,3786503,False,'1/2'
P-0042,107,700000,3490141,False,'1/3'
P-0043,108,700000,3490141,False,'1/3'
P-0044,109,700000,3490141,False,'1/3'
P-0045,11,138796,7967641,True,'1'
P-0046,110,725000,3283369,False,'1/2'
P-0047,111,725000,3283369,False,'1/4'
P-0048,112,725000,3283369,False,'1/4'
P-0049,113,800000,3384861,False,'1/3'
P-0050,114,800000,3384861,False,'1/3'
P-0051,115,800000,3384861,False,'1/3'
P-0052,116,880000,3273415,False,'1/2'
P-0053,117,880000,3273415,False,'1/2'
P-0054,118,1000000,3318750,False,'1/4'
P-0055,119,1000000,3318750,False,'1/4'
P-0056,12,139800,8025276,True,'1'
P-0057,120,1000000,3318750,False,'1/2'
P-0058,121,1150000,3514532,True,'1'
P-0059,122,1500000,4208719,False,'1/2'
P-0060,123,1500000,4208719,False,'1/2'
P-0061,124,1650000,4284352,False,'1/2'
P-0062,125,1650000,4284352,False,'1/2'
P-0063,126,1800000,4354442,True,'1'
P-0064,127,2000000,4642623,False,'1/2'
P-0065,128,2000000,4642623,False,'1/4'
P-0066,129,2000000,4642623,False,'1/4'
P-0067,13,139800,8025276,False,'1/2'
P-0068,130,2175000,4842453,False,'1/2'
P-0069,131,2175000,4842453,False,'1/2'
P-0070,132,2500000,5262636,False,'1/3'
P-0071,133,2500000,5262636,False,'1/3'
P-0072,134,2500000,5262636,False,'1/3'
P-0073,135,3000000,5938490,False,'1/2'
P-0074,136,3000000,5938490,False,'1/4'
P-0075,137,3000000,5938490,False,'1/4'
P-0076,138,4000000,7169620,False,'1/3'
P-0077,139,4000000,7169620,False,'1/3'
P-0078,14,139800,8025276,False,'1/2'
P-0079,140,4000000,7169620,False,'1/3'
P-0080,141,6000000,9825752,True,'1'
P-0081,142,6500000,10403919,True,'1'
P-0082,143,6700000,10245356,False,'1/2'
P-0083,144,6700000,10245356,False,'1/2'
P-0084,145,7000000,10477801,False,'1/2'
P-0085,146,7000000,10477801,False,'1/2'
P-0086,147,7200000,10510515,False,'1/2'
P-0087,148,7200000,10510515,False,'1/2'
P-0088,149,7400000,10750752,False,'1/3'
P-0089,15,140703,8077113,True,'1'
P-0090,150,7400000,10750752,False,'1/3'
P-0091,151,7400000,10750752,False,'1/3'
P-0092,152,7500000,10844112,False,'1/3'
P-0093,153,7500000,10844112,False,'1/3'
P-0094,154,7500000,10844112,False,'1/3'
P-0095,155,7600000,11003681,False,'1/3'
P-0096,156,7600000,11003681,False,'1/3'
P-0097,157,7600000,11003681,False,'1/3'
P-0098,158,7900000,11383718,False,'1/2'
P-0099,159,7900000,11383718,False,'1/2'
P-0100,16,140695,8301005,True,'1'
P-0101,160,150782,9704878,True,'1'
P-0102,161,141847,9129789,True,'1'
P-0103,162,141358,8830717,True,'1'
P-0104,163,140859,8799545,True,'1'
P-0105,164,138089,8626501,True,'1'
P-0106,165,138536,8407156,True,'1'
P-0107,166,138796,7967641,True,'1'
P-0108,167,139800,8025276,True,'1'
P-0109,168,139800,8025276,True,'1'
P-0110,169,140703,8077113,True,'1'
P-0111,17,140476,7650539,True,'1'
P-0112,172,140476,7650539,False,'1/2'
P-0113,173,140476,7650539,False,'1/2'
P-0114,174,143010,7788545,True,'1'
P-0115,175,146900,8000400,True,'1'
P-0116,176,149223,7043326,True,'1'
P-0117,177,138198,3225632,True,'1'
P-0118,178,134100,2712651,True,'1'
P-0119,179,121573,2869123,True,'1'
P-0120,18,143010,7788545,True,'1'
P-0121,180,122483,3563752,True,'1'
P-0122,181,114935,3590029,True,'1'
P-0123,182,118165,3637427,True,'1'
P-0124,183,116960,3707807,True,'1'
P-0125,184,126501,4071032,True,'1'
P-0126,185,156939,5050582,True,'1'
P-0127,186,172760,5559731,False,'1/2'
P-0128,187,172760,5559731,False,'1/2'
P-0129,188,172947,5739679,True,'1'
P-0130,189,173206,5933702,False,'1/2'
P-0131,19,146900,8000400,True,'1'
P-0132,190,173206,5933702,False,'1/2'
P-0133,191,171753,5980383,True,'1'
P-0134,192,162608,5853888,True,'1'
P-0135,193,159917,5661062,False,'1/2'
P-0136,194,159917,5661062,False,'1/2'
P-0137,195,159850,5565925,True,'1'
P-0138,196,158463,5342467,False,'1/2'
P-0139,197,158463,5342467,False,'1/2'
P-0140,198,155077,5146618,True,'1'
P-0141,199,148822,4789363,False,'1/2'
P-0142,2,141847,9129789,False,'1/2'
P-0143,20,149223,7043326,False,'1/2'
P-0144,200,148822,4789363,False,'1/2'
P-0145,201,123691,2855649,True,'1'
P-0146,202,121841,2843849,True,'1'
P-0147,203,121333,2831992,True,'1'
P-0148,204,121524,2836450,False,'1/2'
P-0149,205,121524,2836450,False,'1/4'
P-0150,206,121524,2836450,False,'1/4'
P-0151,207,146115,3301577,True,'1'
P-0152,208,159773,3462835,True,'1'
P-0153,209,156290,3319600,True,'1'
P-0154,21,149223,7043326,False,'1/2'
P-0155,210,164304,3455264,False,'1/2'
P-0156,211,164304,3455264,False,'1/2'
P-0157,212,167612,3042802,False,'1/2'
P-0158,213,167612,3042802,False,'1/2'
P-0159,214,171135,2884847,False,'1/2'
P-0160,215,171135,2884847,False,'1/2'
P-0161,216,175293,2908768,True,'1'
P-0162,217,257220,3213737,True,'1'
P-0163,218,190214,3037703,True,'1'
P-0164,219,200123,3057995,False,'1/2'
P-0165,22,133823,4441251,True,'1'
P-0166,220,200123,3057995,False,'1/2'
P-0167,221,208629,3056055,True,'1'
P-0168,222,880000,3273415,False,'1/4'
P-0169,223,220678,3063530,True,'1'
P-0170,224,225987,3018845,True,'1'
P-0171,225,250233,3260705,True,'1'
P-0172,226,257220,3213737,False,'1/2'
P-0173,227,257220,3213737,False,'1/2'
P-0174,228,265000,3216343,False,'1/2'
P-0175,229,265000,3216343,False,'1/2'
P-0176,23,138198,3225632,True,'1'
